一、乾為天,一、乾為天,
六二：要依附應本中正的原則。,六二,要依附應本中正的原則。
九三：生死是自然的常理，應知天樂命的道理。,九三,生死是自然的常理，應知天樂命的道理。
九四：要依附不可乘人之危，採取脅迫的手段。,九四,要依附不可乘人之危，採取脅迫的手段。
六五：要依附應當警愓，運用柔而中的原則。,六五,要依附應當警愓，運用柔而中的原則。
上九：邪惡應當斷然的排除，但只殺首惡，不究附從。,上九,邪惡應當斷然的排除，但只殺首惡，不究附從。
,,
五路財神經卦解：離宮日出照虛空、離宮八卦光明天,五路財神經卦解,離宮日出照虛空、離宮八卦光明天
,,
,,
三十一、澤山咸,三十一、澤山咸,
釋：感應，夫婦之道。（山澤通氣之象）,釋,感應，夫婦之道。（山澤通氣之象）
初六：感應己經開始，但還不到積極行動的程度。,初六,感應己經開始，但還不到積極行動的程度。
六二：雖然發生感應，但不可妄動，不可強求。,六二,雖然發生感應，但不可妄動，不可強求。
九三：應有主見，不可盲從。,九三,應有主見，不可盲從。
九四：應消除私心，心地正大光明，就不會有任何猶豫。,九四,應消除私心，心地正大光明，就不會有任何猶豫。
九五：孤僻是無法與外物感應溝通的。,九五,孤僻是無法與外物感應溝通的。
上六：應當以至誠感應，不可玩弄口舌。,上六,應當以至誠感應，不可玩弄口舌。
,,
五路財神經卦解：澤山咸卦家庭圓,五路財神經卦解,澤山咸卦家庭圓
,,
,,
三十二、雷風恆,三十二、雷風恆,
釋：恆久、恆常。（日月常明之象）,釋,恆久、恆常。（日月常明之象）
初六：雖是正義，但也不可以勉強他人接受。,初六,雖是正義，但也不可以勉強他人接受。
九二：必須堅持中庸正道的原則。,九二,必須堅持中庸正道的原則。
九三：沒有恆心，以致不被人容納，故應知自立立人的原則。,九三,沒有恆心，以致不被人容納，故應知自立立人的原則。
九四：強調正義的重要。,九四,強調正義的重要。
六五：由於立場不同，即應堅持的德行也不同。,六五,由於立場不同，即應堅持的德行也不同。
上六：正義極端恆久，違背常理，以致不能安定，故應以中庸正道為原則。,上六,正義極端恆久，違背常理，以致不能安定，故應以中庸正道為原則。
,,
五路財神經卦解：雷風恆卦日月明,五路財神經卦解,雷風恆卦日月明
,,
,,
三十三、天山遁,三十三、天山遁,
釋：退避、隱遁。（濃雲蔽日之象）,釋,退避、隱遁。（濃雲蔽日之象）
初六：已是小人得勢之期，應退則退，君子應待機，不可妄動。,初六,已是小人得勢之期，應退則退，君子應待機，不可妄動。
六二：應堅定中正的意志。,六二,應堅定中正的意志。
九三：注意不可被拖累，故應斷然退避，以免招來小人之傷害。,九三,注意不可被拖累，故應斷然退避，以免招來小人之傷害。
九四：時機已過不可眷戀，應當斷退避，否則身敗名裂，是得不償失。,九四,時機已過不可眷戀，應當斷退避，否則身敗名裂，是得不償失。
九五：不能擺脫世俗，就應剛毅，中正隱遁於世俗中。,九五,不能擺脫世俗，就應剛毅，中正隱遁於世俗中。
上九：達到超越世俗，置身世外的地位，又剛健，下面沒有相互拖累，進退沒有牽掛，所以能夠悠然自得，安度隱遁的生活，沒有任何的不利與疑慮。這才是大智慧的賢者，否則仍是凡夫而已。,上九,達到超越世俗，置身世外的地位，又剛健，下面沒有相互拖累，進退沒有牽掛，所以能夠悠然自得，安度隱遁的生活，沒有任何的不利與疑慮。這才是大智慧的賢者，否則仍是凡夫而已。
,,
五路財神經卦解：天山遯卦修隱忍,五路財神經卦解,天山遯卦修隱忍
,,
,,
三十四、雷天大壯,三十四、雷天大壯,
釋：壯大、隆盛。（先曲後順之象）,釋,壯大、隆盛。（先曲後順之象）
初九：要壯大也應當量力，不可妄動，因時機未到。,初九,要壯大也應當量力，不可妄動，因時機未到。
九二：要壯大，應當中庸，有節制，否則頭大尾小，非善策。,九二,要壯大，應當中庸，有節制，否則頭大尾小，非善策。
九三：小人利用他人之勢力壯大自己，君子不會。再三強調做人不可利用他人之勢力壯大，逞強任性，這是非常沒有道德的行為。,九三,小人利用他人之勢力壯大自己，君子不會。再三強調做人不可利用他人之勢力壯大，逞強任性，這是非常沒有道德的行為。
九四：要壯大，更要堅持純正。,九四,要壯大，更要堅持純正。
六五：又進入物極必反，其所壯大己經開始衰退，不可能再積極向前看，故應反看。,六五,又進入物極必反，其所壯大己經開始衰退，不可能再積極向前看，故應反看。
上六：己經進入既不能進又不能退的地步，就應當及時覺悟，艱難己經到來，力求自保以待機，此段時間只有知足常樂，不可貪取妄求，應該靜下心來反省檢討以往之過失並懺悔，才是上策。,上六,己經進入既不能進又不能退的地步，就應當及時覺悟，艱難己經到來，力求自保以待機，此段時間只有知足常樂，不可貪取妄求，應該靜下心來反省檢討以往之過失並懺悔，才是上策。
,,
五路財神經卦解：雷天大壯要恆心,五路財神經卦解,雷天大壯要恆心
,,
,,
,,
三十五、火地晉,三十五、火地晉,
釋：前進、晉升。（鋤地得金之象）,釋,前進、晉升。（鋤地得金之象）
初六：要前進，必須動機純正，即或失敗，也能坦然。,初六,要前進，必須動機純正，即或失敗，也能坦然。
六二：雖然面臨不得前進，也不必憂慮，只要中正，必然有成功之日。,六二,雖然面臨不得前進，也不必憂慮，只要中正，必然有成功之日。
六三：計畫要前進，必須以獲得群眾的信賴為前提。,六三,計畫要前進，必須以獲得群眾的信賴為前提。
九四：不可倖進，不可貪得無厭，否則失敗在眼前。,九四,不可倖進，不可貪得無厭，否則失敗在眼前。
六五：光明磊落，不計較得失，前進必然有利。,六五,光明磊落，不計較得失，前進必然有利。
上九：前進必須要有妥善的策劃，更要謹慎的實施，否則若等到發生偏差時再來改正，即或不失敗，也是恥辱。,上九,前進必須要有妥善的策劃，更要謹慎的實施，否則若等到發生偏差時再來改正，即或不失敗，也是恥辱。
,,
五路財神經卦解：火地晉卦勿倖進,五路財神經卦解,火地晉卦勿倖進
,,
,,
,,
三十六、地火明夷,三十六、地火明夷,
釋：光明負傷、韜晦時期。（謹慎保守之象）,釋,光明負傷、韜晦時期。（謹慎保守之象）
初九：在面臨正義被殘害的苦難時期，唯有退避韜光養晦以自保，才是有智慧的人。,初九,在面臨正義被殘害的苦難時期，唯有退避韜光養晦以自保，才是有智慧的人。
六二：邪惡的殘害己經逼身，應當迅速逃離避難。,六二,邪惡的殘害己經逼身，應當迅速逃離避難。
九三：在遭受嚴重的創傷時，應當採取非常行動，才能挽救，但應謹慎。,九三,在遭受嚴重的創傷時，應當採取非常行動，才能挽救，但應謹慎。
六四：最危險的場所，也最安全的道理。,六四,最危險的場所，也最安全的道理。
六五：愈在黑暗的時刻，愈應當堅持正義，明辨是非。,六五,愈在黑暗的時刻，愈應當堅持正義，明辨是非。
上六：開始登上像君王一般高的地位時，雖然光芒四射，照耀各方，威風凜凜，可是最後墜落到地中，其原因是因為違背了正義的原則，終於要滅亡，這是天理也。,上六,開始登上像君王一般高的地位時，雖然光芒四射，照耀各方，威風凜凜，可是最後墜落到地中，其原因是因為違背了正義的原則，終於要滅亡，這是天理也。
,,
五路財神經卦解：地火明夷自精進,五路財神經卦解,地火明夷自精進
,,
,,
,,
三十七、風火家人,三十七、風火家人,
釋：家庭倫理。（鏡中觀花之象）,釋,家庭倫理。（鏡中觀花之象）
初九：在家庭中應防患於未然，才能保持和諧。,初九,在家庭中應防患於未然，才能保持和諧。
六二：主婦應具備柔順謙遜的中正美德性情。,六二,主婦應具備柔順謙遜的中正美德性情。
九三：治家寧可嚴，不可寬。,九三,治家寧可嚴，不可寬。
六四：理家應順從本份。,六四,理家應順從本份。
九五：一家應相親相愛，和睦共處。,九五,一家應相親相愛，和睦共處。
上九：治家的基本原則，在誠信與威嚴。,上九,治家的基本原則，在誠信與威嚴。
,,
五路財神經卦解：風火家人鏡中花,五路財神經卦解,風火家人鏡中花
,,
,,
,,
三十八、火澤睽,三十八、火澤睽,
釋：乖離、乖異。（兩情相違之象）,釋,乖離、乖異。（兩情相違之象）
初九：異中有同，就是正邪之間，也不例外。,初九,異中有同，就是正邪之間，也不例外。
九二：應為權變，主動積極去異中求同。,九二,應為權變，主動積極去異中求同。
六三：離而合、合而離，是必然的法則，故當背離的時刻，不可懊悔，應當異中求同，必然合同。,六三,離而合、合而離，是必然的法則，故當背離的時刻，不可懊悔，應當異中求同，必然合同。
九四：互信是異中求同的根本。,九四,互信是異中求同的根本。
六五：合同就能產生力量。,六五,合同就能產生力量。
上九：猜疑是合同的大敵，是以彼同也變成異，合也變成離，不能不警愓。,上九,猜疑是合同的大敵，是以彼同也變成異，合也變成離，不能不警愓。
,,
五路財神經卦解：火澤睽卦修中道,五路財神經卦解,火澤睽卦修中道
,,
,,
,,
三十九、水山蹇,三十九、水山蹇,
釋：跛腳走路、困難。（跛腳走路之象）,釋,跛腳走路、困難。（跛腳走路之象）
初六：不可輕率冒進，否則半途而返，而且有危險。,初六,不可輕率冒進，否則半途而返，而且有危險。
六二：當陷入危險時，惟有奮不顧身，彼此相救，才不會遺憾終身。,六二,當陷入危險時，惟有奮不顧身，彼此相救，才不會遺憾終身。
九三：與其冒險，以求倖進，莫如退守，以求安全。,九三,與其冒險，以求倖進，莫如退守，以求安全。
六四：冒險犯難，應當結合同志，充實力量。,六四,冒險犯難，應當結合同志，充實力量。
九五：德不孤，必有鄰，得道者得多人之相助。,九五,德不孤，必有鄰，得道者得多人之相助。
上六：克服困難，應當與賢能結合。,上六,克服困難，應當與賢能結合。
,,
五路財神經卦解：水山蹇卦要量力,五路財神經卦解,水山蹇卦要量力
,,
,,
,,
四十、雷水解,四十、雷水解,
釋：解除困難。（困人出獄之象）,釋,解除困難。（困人出獄之象）
初六：當困難開始之初，就應當迅速解除，勿使困難擴大。,初六,當困難開始之初，就應當迅速解除，勿使困難擴大。
九二：解除困難，須把握中庸正直的原則。,九二,解除困難，須把握中庸正直的原則。
六三：解除困難，名實必須相符，即身份與地位相稱。,六三,解除困難，名實必須相符，即身份與地位相稱。
九四：除惡務盡，才能得到君子的信任與支持。,九四,除惡務盡，才能得到君子的信任與支持。
六五：君子勢長，小人必然勢消。,六五,君子勢長，小人必然勢消。
上六：對邪惡應採取斷然手段。,上六,對邪惡應採取斷然手段。
,,
五路財神經卦解：雷水解卦煩惱除,五路財神經卦解,雷水解卦煩惱除
,,
,,
,,
四十一、山澤損,四十一、山澤損,
釋：減少、損失。（勞心苦戰之象）,釋,減少、損失。（勞心苦戰之象）
初九：應損則損，但必須量力、適度。,初九,應損則損，但必須量力、適度。
九二：中庸不妄進，堅持正道有利，貪進則凶。,九二,中庸不妄進，堅持正道有利，貪進則凶。
六三：損有餘，益不足，三人就要損一人，損一人就得增益一人，即損有餘，益不足的原則。,六三,損有餘，益不足，三人就要損一人，損一人就得增益一人，即損有餘，益不足的原則。
六四：以損益，行動必須迅速，即有病早治有益。,六四,以損益，行動必須迅速，即有病早治有益。
六五：柔順謙虛中正的人，當會得到大多數人的支持，故吉利。,六五,柔順謙虛中正的人，當會得到大多數人的支持，故吉利。
上九：損益完全依狀況而定，應損則損，應益則益，才能使人民心悅誠服。,上九,損益完全依狀況而定，應損則損，應益則益，才能使人民心悅誠服。
,,
五路財神經卦解：山澤損卦勞心力,五路財神經卦解,山澤損卦勞心力
,,
,,
,,
四十二、風雷益,四十二、風雷益,
釋：增多，受益。（枯木開花之象）,釋,增多，受益。（枯木開花之象）
初九：【佈施】才能得到人民支持，從事偉大事業，但偉大事業必須是善事，才不會有過錯。,初九,【佈施】才能得到人民支持，從事偉大事業，但偉大事業必須是善事，才不會有過錯。
六二：柔順、謙虛、中正、必然得到助益。,六二,柔順、謙虛、中正、必然得到助益。
六三：誠實的求助，並不違背原則，則可以行之。,六三,誠實的求助，並不違背原則，則可以行之。
六四：中庸是獲得助益的條件。,六四,中庸是獲得助益的條件。
九五：對人民布施恩惠，人民也回報，自己也有收穫。,九五,對人民布施恩惠，人民也回報，自己也有收穫。
上九：凡事不可貪得無厭。,上九,凡事不可貪得無厭。
,,
五路財神經卦解：風雷益卦修施捨,五路財神經卦解,風雷益卦修施捨
,,
,,
,,
四十三、澤天夬,四十三、澤天夬,
釋：切斷、決裂。（遊蜂脫網之象）,釋,切斷、決裂。（遊蜂脫網之象）
初九：決斷小人，先要有萬全準備。,初九,決斷小人，先要有萬全準備。
九二：決斷小人，應提高警覺，防範反擊。,九二,決斷小人，應提高警覺，防範反擊。
九三：決斷小人，應隱忍不動聲色，在暗中進行。,九三,決斷小人，應隱忍不動聲色，在暗中進行。
九四：決斷小人，即不遲疑，也不可衝動。,九四,決斷小人，即不遲疑，也不可衝動。
九五：決斷小人，最理想的手段，是以感化方式，使其改過遷善為吉。,九五,決斷小人，最理想的手段，是以感化方式，使其改過遷善為吉。
上六：小人遲早會被決斷，不能長存的。,上六,小人遲早會被決斷，不能長存的。
,,
五路財神經卦解：澤天夬卦遊法海,五路財神經卦解,澤天夬卦遊法海
,,
,,
,,
四十四、天風姤,四十四、天風姤,
釋：邂逅、相遇。（他鄉遇友之象）,釋,邂逅、相遇。（他鄉遇友之象）
初六：對小人應戒備，在其勢力未形成前就要嚴厲制止。,初六,對小人應戒備，在其勢力未形成前就要嚴厲制止。
九二：對小人應防止其影響力擴大，以免其他人被誘惑。,九二,對小人應防止其影響力擴大，以免其他人被誘惑。
九三：即或孤立無援，也不可與小人結伴。,九三,即或孤立無援，也不可與小人結伴。
九四：包容才能得到廣大的支持。,九四,包容才能得到廣大的支持。
九五：陰陽消長為必然的法則，不可違背身隱忍以掌握最有利的時機。,九五,陰陽消長為必然的法則，不可違背身隱忍以掌握最有利的時機。
上六：嚴厲排斥小人，雖然偏狹，但卻安全。,上六,嚴厲排斥小人，雖然偏狹，但卻安全。
,,
五路財神經卦解：天風姤卦遇貴人,五路財神經卦解,天風姤卦遇貴人
,,
,,
,,
四十五、澤地萃,四十五、澤地萃,
釋：聚集。（大有斬獲之象）,釋,聚集。（大有斬獲之象）
初六：正當的會聚，不可意志動搖，應當堅定向前。,初六,正當的會聚，不可意志動搖，應當堅定向前。
六二：誠信，必然可以聚集。即諸事趁中庸的德性還沒有改變之前，立即給予援引才會吉祥無災難。,六二,誠信，必然可以聚集。即諸事趁中庸的德性還沒有改變之前，立即給予援引才會吉祥無災難。
六三：身邊即或有堅強有力的援助者，但如果行為不止，寧可捨棄，而與遠方志同同道合不得勢的朋友結交，才會有利。,六三,身邊即或有堅強有力的援助者，但如果行為不止，寧可捨棄，而與遠方志同同道合不得勢的朋友結交，才會有利。
九四：動機不純正時，無法使結果盡善盡美。,九四,動機不純正時，無法使結果盡善盡美。
九五：以德服眾，才能使萬民歸心。,九五,以德服眾，才能使萬民歸心。
上六：若違背以上之原則而被群眾遺棄時，應當反省不可怨天尤人。,上六,若違背以上之原則而被群眾遺棄時，應當反省不可怨天尤人。
,,
五路財神經卦解：澤地萃卦修度量,五路財神經卦解,澤地萃卦修度量
,,
,,
,,
四十六、地風升,四十六、地風升,
釋：上昇。（指日高昇之象）,釋,上昇。（指日高昇之象）
初六：在昇進中，應追隨志同道合的前輩，才會順利。,初六,在昇進中，應追隨志同道合的前輩，才會順利。
九二：在昇進中，必須有誠信，不可拘泥於形式。,九二,在昇進中，必須有誠信，不可拘泥於形式。
九三：昇進應當勇往向前，可以放心大膽的前進。,九三,昇進應當勇往向前，可以放心大膽的前進。
六四：祭祀是應當的事，順著應當做的事做，必然吉祥，沒有災難，即順從正當的途徑升進。,六四,祭祀是應當的事，順著應當做的事做，必然吉祥，沒有災難，即順從正當的途徑升進。
六五：要用賢，才能得到有利的輔助，當然可以順利昇進。,六五,要用賢，才能得到有利的輔助，當然可以順利昇進。
上六：昇進必須有節制，否則後力不繼。,上六,昇進必須有節制，否則後力不繼。
,,
五路財神經卦解：地風升卦旭日升,五路財神經卦解,地風升卦旭日升
,,
,,
,,
四十七、澤水困,四十七、澤水困,
釋：窮困。（守己待時之象）,釋,窮困。（守己待時之象）
初六：己在窮困中，必須明智，極端隱忍，不可浮燥。,初六,己在窮困中，必須明智，極端隱忍，不可浮燥。
九二：過度豐富也會造成困擾，也有得意不可忘形之意。,九二,過度豐富也會造成困擾，也有得意不可忘形之意。
六三：因為僥倖妄進，才會造成窮困。,六三,因為僥倖妄進，才會造成窮困。
九四：解救窮困，不可操之過急，應當量力審慎行動。,九四,解救窮困，不可操之過急，應當量力審慎行動。
九五：要有經得起考驗的堅定意志。,九五,要有經得起考驗的堅定意志。
上六：解除窮困，手段不正，反而愈陷愈深，必須及時反省，否則永無翻身之日。,上六,解除窮困，手段不正，反而愈陷愈深，必須及時反省，否則永無翻身之日。
,,
五路財神經卦解：澤水困卦修忍辱,五路財神經卦解,澤水困卦修忍辱
,,
,,
,,
四十八、水風井,四十八、水風井,
釋：水井、用賢。（枯井生泉之象）,釋,水井、用賢。（枯井生泉之象）
初六：不合時宜的人，將被淘汰。,初六,不合時宜的人，將被淘汰。
九二：有賢人在野，但上方沒有援引，無法昇進，即在野有遺賢。,九二,有賢人在野，但上方沒有援引，無法昇進，即在野有遺賢。
九三：應當求賢，發掘人才。,九三,應當求賢，發掘人才。
六四：賢者應修充實，以等待時機。,六四,賢者應修充實，以等待時機。
九五：應當使賢人為全民造福。,九五,應當使賢人為全民造福。
上六：當賢者在位時，應當為民服務。,上六,當賢者在位時，應當為民服務。
,,
五路財神經卦解：水風井卦善用賢,五路財神經卦解,水風井卦善用賢
,,
,,
,,
四十九、澤火革,四十九、澤火革,
釋：變革、改革。憂去喜來之象,釋,變革、改革。憂去喜來之象
初九：要變革必先鞏固自己，否則提倡變革並無益。,初九,要變革必先鞏固自己，否則提倡變革並無益。
六二：改革必須時機成熟。,六二,改革必須時機成熟。
九三：改革即或勢在必行，也應極端謹慎，再三考慮。,九三,改革即或勢在必行，也應極端謹慎，再三考慮。
九四：改革者的性格、時間、因素，以及首先贏得群眾信賴，即天時、地利、人和的重要性。,九四,改革者的性格、時間、因素，以及首先贏得群眾信賴，即天時、地利、人和的重要性。
九五：變革必須徹底，而非修飾，並且再三強調，必須得群眾的信賴與支持，才會作功。,九五,變革必須徹底，而非修飾，並且再三強調，必須得群眾的信賴與支持，才會作功。
上六爻：變革成功以後，上下應當先洗面革心，並且與民休息，以適應新的生活。,上六爻,變革成功以後，上下應當先洗面革心，並且與民休息，以適應新的生活。
,,
五路財神經卦解：澤火革卦修改革,五路財神經卦解,澤火革卦修改革
,,
,,
,,
五十、火風鼎,五十、火風鼎,
釋：食器、養賢。（餓人飢食之象）,釋,食器、養賢。（餓人飢食之象）
初六：養賢是為了儲蓄人才，以除舊布新。,初六,養賢是為了儲蓄人才，以除舊布新。
九二：養賢，應排除小人。,九二,養賢，應排除小人。
九三：賢能不被中用時，應堅守正道，終有出頭的時日。,九三,賢能不被中用時，應堅守正道，終有出頭的時日。
九四：應知人善用，小人不可以擔當重任。,九四,應知人善用，小人不可以擔當重任。
六五：剛毅的臣，得到明智的君，才能相得益彰。,六五,剛毅的臣，得到明智的君，才能相得益彰。
上九：剛柔兼備，無往不利。,上九,剛柔兼備，無往不利。
,,
五路財神經卦解：火風鼎卦守律法,五路財神經卦解,火風鼎卦守律法
,,
,,
,,
五十一、震為雷,五十一、震為雷,
釋：震動、戒懼。（金鐘夜響之象）,釋,震動、戒懼。（金鐘夜響之象）
初九：記取恐懼的教訓，提高警覺，以後才能平安。,初九,記取恐懼的教訓，提高警覺，以後才能平安。
六二：遭受震驚，堅持中正的原則，就能迅速復原。,六二,遭受震驚，堅持中正的原則，就能迅速復原。
六三：因恐懼而知反省檢討，即可避免災難。,六三,因恐懼而知反省檢討，即可避免災難。
九四：必須發揮剛毅的力量，才能經得起震撼。,九四,必須發揮剛毅的力量，才能經得起震撼。
六五：當震驚發生時，堅持中庸原則，不偏不倚，可使損害減少到最低程度。,六五,當震驚發生時，堅持中庸原則，不偏不倚，可使損害減少到最低程度。
上六：他處遭受震驚，自己知道警覺，就可防患未然。,上六,他處遭受震驚，自己知道警覺，就可防患未然。
,,
五路財神經卦解：震宮法音喚覺性、震宮八卦徹虛空,五路財神經卦解,震宮法音喚覺性、震宮八卦徹虛空
,,
,,
,,
五十二、艮為山,五十二、艮為山,
釋：停止。（安靜無虧之象）,釋,停止。（安靜無虧之象）
初六：停止，應該在未行動之前，才不會失當。,初六,停止，應該在未行動之前，才不會失當。
六二：應止不止，勉強追隨他人，不會愉快。,六二,應止不止，勉強追隨他人，不會愉快。
九三：停止不當，以致眾叛親離。,九三,停止不當，以致眾叛親離。
六四：應當知機，自我約束，適可而止。,六四,應當知機，自我約束，適可而止。
六五：言語，也應當適可而止。,六五,言語，也應當適可而止。
上九：應止於至善，最後的堅持最重要。,上九,應止於至善，最後的堅持最重要。
,,
五路財神經卦解：艮宮華嚴性本然、艮宮八卦華嚴性,五路財神經卦解,艮宮華嚴性本然、艮宮八卦華嚴性
,,
,,
,,
五十三、風山漸,五十三、風山漸,
釋：漸進。（飄浮不定之象）,釋,漸進。（飄浮不定之象）
初六：不可勉強，應量力漸進。,初六,不可勉強，應量力漸進。
六二：漸進應穩當踏實。,六二,漸進應穩當踏實。
九三：漸進不可剛強過度。,九三,漸進不可剛強過度。
六四：漸進應當因應狀況，才能安全。,六四,漸進應當因應狀況，才能安全。
九五：在漸進中，也難免會有障礙，但邪不能勝正。,九五,在漸進中，也難免會有障礙，但邪不能勝正。
上九：超脫於世俗之外，即可進退由心。,上九,超脫於世俗之外，即可進退由心。
,,
五路財神經卦解：風山漸卦勿急進,五路財神經卦解,風山漸卦勿急進
,,
,,
,,
五十四、雷澤歸妹,五十四、雷澤歸妹,
釋：婚嫁。（浮雲蔽日之象）,釋,婚嫁。（浮雲蔽日之象）
初九：名位不當，堅守純正，依然吉祥。,初九,名位不當，堅守純正，依然吉祥。
九二：遇人不淑，堅守純正，仍然吉祥。,九二,遇人不淑，堅守純正，仍然吉祥。
六三：輕佻不足以擔當重任。,六三,輕佻不足以擔當重任。
九四：要選擇正當的對象。,九四,要選擇正當的對象。
六五：高貴的品德，比虛榮重要。,六五,高貴的品德，比虛榮重要。
上六：缺乏品德，結果不會美滿，即有名無實。,上六,缺乏品德，結果不會美滿，即有名無實。
,,
五路財神經卦解：雷澤歸妹雲蔽日,五路財神經卦解,雷澤歸妹雲蔽日
,,
,,
,,
五十五、雷火豐,五十五、雷火豐,
釋：盛大。（古鏡重明之象）,釋,盛大。（古鏡重明之象）
初九：盛大應積極去追求，但應適度。,初九,盛大應積極去追求，但應適度。
六二：追求盛大，容易迷失，產生猜疑，應以誠信，啟發意志。,六二,追求盛大，容易迷失，產生猜疑，應以誠信，啟發意志。
九三：因盛大而迷失，造成無可避免的傷害，應當秉持剛正。,九三,因盛大而迷失，造成無可避免的傷害，應當秉持剛正。
九四：因盛大而迷失，應主動結合志，突破黑暗。,九四,因盛大而迷失，應主動結合志，突破黑暗。
六五：追求盛大，必須用賢。,六五,追求盛大，必須用賢。
上六：告誡因盛大而迷失，終究完全被閉塞。,上六,告誡因盛大而迷失，終究完全被閉塞。
,,
五路財神經卦解：雷火豐卦開心智,五路財神經卦解,雷火豐卦開心智
,,
,,
,,
五十六、火山旅,五十六、火山旅,
釋：旅行、不安定。（先甘後苦之象）,釋,旅行、不安定。（先甘後苦之象）
初六：在不安定中，不可斤斤計較於小節，應當大處著眼。,初六,在不安定中，不可斤斤計較於小節，應當大處著眼。
六二：轉危為安，必須要有萬全的準備。,六二,轉危為安，必須要有萬全的準備。
九三：必須以謙虛態度，得到一切財力，才能轉危為安。,九三,必須以謙虛態度，得到一切財力，才能轉危為安。
九四：強調安定必須正當。,九四,強調安定必須正當。
六五：求安定應不計一時的得失，要有光明磊落的態度。,六五,求安定應不計一時的得失，要有光明磊落的態度。
上九：求安定必須柔順，不可驕傲。,上九,求安定必須柔順，不可驕傲。
,,
五路財神經卦解：火山旅卦甘後苦,五路財神經卦解,火山旅卦甘後苦
,,
,,
,,
五十七、巽為風,五十七、巽為風,
釋：進入、謙遜。（動極思靜之象）,釋,進入、謙遜。（動極思靜之象）
初六：進進退退，因為憂柔寡斷，心中有疑惑，要像武人般堅決果斷才有利，意志才能堅定不移。,初六,進進退退，因為憂柔寡斷，心中有疑惑，要像武人般堅決果斷才有利，意志才能堅定不移。
九二：謙遜並非自卑。,九二,謙遜並非自卑。
九三：謙遜並非虛偽。,九三,謙遜並非虛偽。
六四：謙遜應當正當。,六四,謙遜應當正當。
九五：謙遜是事前周詳叮嚀，事後檢討得失的慎重態度。,九五,謙遜是事前周詳叮嚀，事後檢討得失的慎重態度。
上九：謙遜應當恰如其份，不可過度。,上九,謙遜應當恰如其份，不可過度。
,,
五路財神經卦解：巽宮氣流悅心田、巽宮八卦修謙遜,五路財神經卦解,巽宮氣流悅心田、巽宮八卦修謙遜
,,
,,
,,
五十八、兌為澤,五十八、兌為澤,
釋：喜悅、取悅。（趁水和泥之象）,釋,喜悅、取悅。（趁水和泥之象）
初九：與人和悅，應當光明正大，而非奉承諂媚。,初九,與人和悅，應當光明正大，而非奉承諂媚。
九二：應以誠信與人和悅，後悔就消失了。,九二,應以誠信與人和悅，後悔就消失了。
六三：和悅，不可不當，否則有凶險。,六三,和悅，不可不當，否則有凶險。
九四：和悅並非鄉愿，應斷然去惡，必有喜慶之象。,九四,和悅並非鄉愿，應斷然去惡，必有喜慶之象。
九五：剛正也難免被小人包圍，故有危險。,九五,剛正也難免被小人包圍，故有危險。
上六：小人不擇手段取悅於人的危險，必須戒懼。,上六,小人不擇手段取悅於人的危險，必須戒懼。
,,
五路財神經卦解：兌宮法海浪如山、兌宮八卦藏法海,五路財神經卦解,兌宮法海浪如山、兌宮八卦藏法海
,,
,,
,,
五十九、風水渙,五十九、風水渙,
釋：渙散。（隔河望金之象）,釋,渙散。（隔河望金之象）
初六：拯救渙散，應在開始時就用積極手段。,初六,拯救渙散，應在開始時就用積極手段。
九二：拯救渙散，須先求安定。,九二,拯救渙散，須先求安定。
六三：拯救渙散，要先除去私心。,六三,拯救渙散，要先除去私心。
六四：拯救渙散，應消除派系，促成團結。,六四,拯救渙散，應消除派系，促成團結。
九五：拯救渙散，應排除私利，為公眾造福。,九五,拯救渙散，應排除私利，為公眾造福。
上九：拯救渙散，應除害。,上九,拯救渙散，應除害。
,,
五路財神經卦解：風水渙卦慎渙散,五路財神經卦解,風水渙卦慎渙散
,,
,,
,,
六十、水澤節,六十、水澤節,
釋：節制、節約。（封神斬將之象）,釋,節制、節約。（封神斬將之象）
初九：首先應自我節制，言語行動應謹慎。,初九,首先應自我節制，言語行動應謹慎。
九二：過度節制，就會失去時機。,九二,過度節制，就會失去時機。
六三：應當節制不能節制，就是自取其咎。,六三,應當節制不能節制，就是自取其咎。
六四：節制應順其自然，不可勉強。,六四,節制應順其自然，不可勉強。
九五：節制應以中正的德行，以身作則，倡導於先，才能使人人樂於接受，而能有所作為。,九五,節制應以中正的德行，以身作則，倡導於先，才能使人人樂於接受，而能有所作為。
上六：過度節制，會造成反效果。,上六,過度節制，會造成反效果。
,,
五路財神經卦解：水澤節卦宜節制,五路財神經卦解,水澤節卦宜節制
,,
,,
,,
六十一、風澤中孚,六十一、風澤中孚,
釋：心中誠信。（謹慎保守之象）,釋,心中誠信。（謹慎保守之象）
初九：開始應當慎重，一但相信，就不可猜疑。,初九,開始應當慎重，一但相信，就不可猜疑。
九二：誠信必須能夠溝通，引起共鳴，始能發揮作用。,九二,誠信必須能夠溝通，引起共鳴，始能發揮作用。
六三：誠信必須堅定不移，否則不知所措。,六三,誠信必須堅定不移，否則不知所措。
六四：誠信應選擇對象，即斷絕無能的夥伴，追隨有智慧、有賢德、有誠信的偉大人物，才會沒有災難。,六四,誠信應選擇對象，即斷絕無能的夥伴，追隨有智慧、有賢德、有誠信的偉大人物，才會沒有災難。
九五：彼此誠信，才能相得益彰。,九五,彼此誠信，才能相得益彰。
上九：不可因誠信就孤高閉塞了自己。,上九,不可因誠信就孤高閉塞了自己。
,,
